Time,Amplitude
0.0,7.81399905115263
0.001,8.026653005573472
0.002,8.238404166195144
0.003,8.449207737310244
0.004,8.659019120019016
0.005,8.867793923573753
0.006,9.075487976670678
0.007,9.282057338686258
0.008,9.487458310855027
0.009000000000000001,9.691647447385947
0.01,9.894581566514333
0.011,10.096217761486493
0.012,10.29651341147409
0.013000000000000001,10.495426192415403
0.014,10.692914087780597
0.015,10.888935399258157
0.016,11.083448757359651
0.017,11.27641313194003
0.018000000000000002,11.46778784263067
0.019,11.657532569182418
0.02,11.84560736171587
0.021,12.03197265087622
0.022,12.216589257889929
0.023,12.399418404520626
0.024,12.580421722921542
0.025,12.759561265381945
0.026000000000000002,12.936799513964901
0.027,13.112099390033906
0.028,13.28542426366582
0.029,13.456737962947628
0.03,13.626004783154542
0.031,13.793189495807091
0.032,13.958257357604705
0.033,14.121174119233501
0.034,14.281906034045932
0.035,14.440419866609977
0.036000000000000004,14.596682901125643
0.037,14.75066294970653
0.038,14.902328360524285
0.039,15.051648025813794
0.04,15.198591389736983
0.041,15.343128456103157
0.042,15.485229795943852
0.043000000000000003,15.624866554940162
0.044,15.762010460700608
0.045,15.896633829887644
0.046,16.028709575190856
0.047,16.158211212145066
0.048,16.285112865791532
0.049,16.40938927718047
0.05,16.531015809713182
0.051000000000000004,16.649968455322124
0.052000000000000005,16.766223840487303
0.053,16.879759232087356
0.054,16.99055254308385
0.055,17.098582338037204
0.056,17.203827838452888
0.057,17.30626892795641
0.058,17.40588615729572
0.059000000000000004,17.502660749169824
0.06,17.59657460288217
0.061,17.687610298817713
0.062,17.77575110274243
0.063,17.860980969924146
0.064,17.943284549073606
0.065,18.02264718610475
0.066,18.09905492771317
0.067,18.17249452477191
0.068,18.242953435543566
0.069,18.31041982870798
0.07,18.37488258620465
0.07100000000000001,18.436331305889176
0.07200000000000001,18.494756304002962
0.073,18.550148617455605
0.074,18.602500005919353
0.075,18.65180295373508
0.076,18.69805067162925
0.077,18.741237098241527
0.078,18.78135690146248
0.079,18.81840547958118
0.08,18.85237896224235
0.081,18.883274211212765
0.082,18.911088820956778
0.083,18.93582111902084
0.084,18.957470166226845
0.085,18.976035756674325
0.08600000000000001,18.99151841755149
0.08700000000000001,19.003919408755166
0.088,19.01324072231973
0.089,19.01948508165525
0.09,19.022655940594987
0.091,19.022757482252555
0.092,19.019794617689044
0.093,19.01377298439048
0.094,19.004698944556033
0.095,18.992579583197404
0.096,18.977422706049982
0.097,18.959236837296253
0.098,18.938031217102143
0.099,18.913815798966898
0.1,18.886601246887295
0.101,18.85639893233685
0.10200000000000001,18.82322093106093
0.10300000000000001,18.787080019688545
0.10400000000000001,18.747989672161832
0.105,18.705964055984072
0.106,18.661018028287334
0.107,18.61316713172077
0.108,18.562427590160663
0.109,18.508816304243396
0.11,18.452350846722492
0.111,18.393049457651035
0.112,18.3309310393907
0.113,18.26601515144876
0.114,18.198322005144483
0.115,18.12787245810625
0.116,18.054688008600962
0.117,17.978790789697207
0.11800000000000001,17.900203563263776
0.11900000000000001,17.818949713805065
0.12,17.73505324213511
0.121,17.64853875889183
0.122,17.559431477893384
0.123,17.467757209338146
0.124,17.373542352850436
0.125,17.276813890373578
0.126,17.177599378912376
0.127,17.075926943126852
0.128,16.971825267779245
0.129,16.8653235900363
0.13,16.75645169162887
0.131,16.64523989087096
0.132,16.531719034540323
0.133,16.415920489622742
0.134,16.297876134922294
0.135,16.17761835253972
0.136,16.055180019221247
0.137,15.930594497580142
0.138,15.803895627193356
0.139,15.67511771557561
0.14,15.544295529033338
0.14100000000000001,15.411464283400928
0.14200000000000002,15.276659634661728
0.14300000000000002,15.139917669456334
0.14400000000000002,15.001274895480638
0.145,14.860768231776257
0.146,14.718434998915884
0.147,14.574312909086212
0.148,14.428440056071045
0.149,14.280854905137272
0.15,14.131596282826386
0.151,13.980703366654332
0.152,13.828215674722315
0.153,13.674173055241438
0.154,13.518615675973894
0.155,13.361584013593571
0.156,13.203118842968852
0.157,13.043261226370518
0.158,12.882052502607577
0.159,12.719534276093952
0.16,12.555748405848895
0.161,12.390736994434125
0.162,12.224542376830536
0.163,12.057207109257538
0.164,11.888773957937918
0.165,11.719285887811267
0.166,11.548786051198972
0.167,11.377317776423746
0.168,11.204924556386786
0.169,11.031650037105539
0.17,10.857538006215176
0.171,10.682632381436788
0.17200000000000001,10.506977199015402
0.17300000000000001,10.330616602130885
0.17400000000000002,10.153594829284811
0.17500000000000002,9.975956202666378
0.176,9.79774511650049
0.177,9.619006025381058
0.178,9.439783432592682
0.179,9.260121878423789
0.18,9.080065928474282
0.181,8.89966016196092
0.182,8.718949160023438
0.183,8.537977494034564
0.184,8.356789713917028
0.185,8.175430336470663
0.186,7.993943833712716
0.187,7.8123746212344525
0.188,7.630767046577137
0.189,7.449165377630504
0.19,7.267613791056805
0.191,7.086156360743458
